CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,Cost,Cost Performance Ratio,IdleL,IdleR,System,Platform,Region,Zone,Provider,Load Avg Utl,Run Avg Utl
1,3.75,10,0,128,5,50,3163,24.67,0.0078,6.6,36.2,A,GCP,Iowa,us-central1-a,Google,93.4,63.8
2,7.5,10,0,128,5,50,3423,48.94,0.0143,45.4,51.2,B,GCP,Iowa,us-central1-a,Google,54.6,48.8
4,15,10,0,128,5,50,3447,97.49,0.0283,70.5,62.3,C,GCP,Iowa,us-central1-a,Google,29.5,37.7
16,60,10,0,128,5,50,3554,388.76,0.1094,93.5,94.6,F,GCP,Iowa,us-central1-a,Google,6.5,5.4
1,3.75,10,0,128,20,100,1125,24.67,0.0219,6.6,73.6,A,GCP,Iowa,us-central1-a,Google,93.4,26.4
4,15,10,0,128,20,100,1168,97.49,0.0835,71.9,84.7,C,GCP,Iowa,us-central1-a,Google,28.1,15.3
4,15,80,0,128,5,10,3293,100.29,0.0305,71.6,64.9,C,GCP,Iowa,us-central1-a,Google,28.4,35.1
4,15,320,0,128,5,10,7585,109.61,0.0145,71.1,35.9,C,GCP,Iowa,us-central1-a,Google,28.9,64.1
1,3.75,20,0,128,5,10,3208,25.07,0.0078,6.9,37.9,A,GCP,Iowa,us-central1-a,Google,93.1,62.1
1,3.75,80,0,128,5,10,3162,27.47,0.0087,7.8,38.3,A,GCP,Iowa,us-central1-a,Google,92.2,61.7
1,3.75,100,0,128,5,10,3127,28.27,0.009,7.4,38.7,A,GCP,Iowa,us-central1-a,Google,92.6,61.3
1,3.75,320,0,128,5,10,4377,37.07,0.0085,7.2,7.7,A,GCP,Iowa,us-central1-a,Google,92.8,92.3
1,3.75,250,0,128,5,10,4240,34.27,0.0081,7.1,9.3,A,GCP,Iowa,us-central1-a,Google,92.9,90.7
1,3.75,750,0,128,5,10,4712,54.27,0.0115,7,3.2,A,GCP,Iowa,us-central1-a,Google,93,96.8
1,3.75,10,0,16,1,10,1506,24.67,0.0164,6.8,67.9,A,GCP,Iowa,us-central1-a,Google,93.2,32.1
1,3.75,10,0,32,1,10,3397,24.67,0.0073,7.2,38.7,A,GCP,Iowa,us-central1-a,Google,92.8,61.3
1,3.75,10,0,64,1,10,5134,24.67,0.0048,7.6,5.6,A,GCP,Iowa,us-central1-a,Google,92.4,94.4
1,3.75,10,0,128,1,10,5334,24.67,0.0046,7.7,2.2,A,GCP,Iowa,us-central1-a,Google,92.3,97.8
1,3.75,10,0,256,1,10,5611,24.67,0.0044,6.9,1.8,A,GCP,Iowa,us-central1-a,Google,93.1,98.2
1,3.75,10,0,512,1,10,5630,24.67,0.0044,7.3,2,A,GCP,Iowa,us-central1-a,Google,92.7,98
1,3.75,10,0,1024,1,10,5628,24.67,0.0044,7.9,1.9,A,GCP,Iowa,us-central1-a,Google,92.1,98.1
2,7.5,10,0,16,1,10,1521,48.94,0.0322,44.7,72.8,B,GCP,Iowa,us-central1-a,Google,55.3,27.2
2,7.5,10,0,32,1,10,3456,48.94,0.0142,46.2,50.7,B,GCP,Iowa,us-central1-a,Google,53.8,49.3
2,7.5,10,0,64,1,10,6704,48.94,0.0073,46.6,6.5,B,GCP,Iowa,us-central1-a,Google,53.4,93.5
2,7.5,10,0,128,1,10,7893,48.94,0.0062,45.7,3.4,B,GCP,Iowa,us-central1-a,Google,54.3,96.6
2,7.5,10,0,256,1,10,7738,48.94,0.0063,45.5,3,B,GCP,Iowa,us-central1-a,Google,54.5,97
2,7.5,10,0,512,1,10,7796,48.94,0.0063,44.9,3.1,B,GCP,Iowa,us-central1-a,Google,55.1,96.9
